2025-10-07 13:15:51,774 INFO    Thread-12 :135343 [dir_watcher.py:_on_file_created():278] file/dir created: /home/armaan/dribblebot/wandb/run-20251007_131550-051h5z01/files/requirements.txt
2025-10-07 13:15:51,774 INFO    Thread-12 :135343 [dir_watcher.py:_on_file_created():278] file/dir created: /home/armaan/dribblebot/wandb/run-20251007_131550-051h5z01/files/wandb-metadata.json
2025-10-07 13:15:51,775 INFO    Thread-12 :135343 [dir_watcher.py:_on_file_created():278] file/dir created: /home/armaan/dribblebot/wandb/run-20251007_131550-051h5z01/files/conda-environment.yaml
2025-10-07 13:15:51,775 INFO    Thread-12 :135343 [dir_watcher.py:_on_file_created():278] file/dir created: /home/armaan/dribblebot/wandb/run-20251007_131550-051h5z01/files/wandb-summary.json
2025-10-07 13:15:51,987 INFO    wandb-upload_0:135343 [upload_job.py:push():137] Uploaded file /tmp/tmpang2uabxwandb/pjdesjbe-wandb-metadata.json
2025-10-07 13:15:53,774 INFO    Thread-12 :135343 [dir_watcher.py:_on_file_created():278] file/dir created: /home/armaan/dribblebot/wandb/run-20251007_131550-051h5z01/files/output.log
2025-10-07 13:15:55,669 DEBUG   HandlerThread:135343 [handler.py:handle_request():144] handle_request: status_report
2025-10-07 13:15:55,774 INFO    Thread-12 :135343 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/armaan/dribblebot/wandb/run-20251007_131550-051h5z01/files/output.log
2025-10-07 13:16:00,669 DEBUG   HandlerThread:135343 [handler.py:handle_request():144] handle_request: status_report
2025-10-07 13:16:05,174 DEBUG   SenderThread:135343 [sender.py:send():375] send: exit
2025-10-07 13:16:05,174 INFO    SenderThread:135343 [sender.py:send_exit():598] handling exit code: 1
2025-10-07 13:16:05,174 INFO    SenderThread:135343 [sender.py:send_exit():600] handling runtime: 14
2025-10-07 13:16:05,174 INFO    SenderThread:135343 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2025-10-07 13:16:05,174 INFO    SenderThread:135343 [sender.py:send_exit():606] send defer
2025-10-07 13:16:05,174 DEBUG   HandlerThread:135343 [handler.py:handle_request():144] handle_request: defer
2025-10-07 13:16:05,174 INFO    HandlerThread:135343 [handler.py:handle_request_defer():170] handle defer: 0
2025-10-07 13:16:05,174 DEBUG   SenderThread:135343 [sender.py:send_request():402] send_request: defer
2025-10-07 13:16:05,174 INFO    SenderThread:135343 [sender.py:send_request_defer():622] handle sender defer: 0
2025-10-07 13:16:05,174 INFO    SenderThread:135343 [sender.py:transition_state():626] send defer: 1
2025-10-07 13:16:05,175 DEBUG   HandlerThread:135343 [handler.py:handle_request():144] handle_request: defer
